university,program,name,credits,mode
Stanford,CS-MS - Computer Science (MS),CS-MS - Computer Science (MS),,
Harvard,Master's in Computational Science and Engineering Courses,Data Science 1: Introduction to Data Science,,
Harvard,Master's in Computational Science and Engineering Courses,Data Science 2: Advanced Topics in Data Science,,
Harvard,Master's in Computational Science and Engineering Courses,Advanced Practical Data Science,,
Harvard,Master's in Computational Science and Engineering Courses,Critical Thinking in Data Science,,
Harvard,Master's in Computational Science and Engineering Courses,Computational Design of Materials,,
Harvard,Master's in Computational Science and Engineering Courses,Computational Science and Engineering Capstone Project,,
Harvard,Master's in Computational Science and Engineering Courses,Computational Science and Engineering Capstone Project,,
Harvard,Master's in Computational Science and Engineering Courses,Interdisciplinary Seminar in Applied Computation,,
Harvard,Master's in Computational Science and Engineering Courses,Special Topics in Applied Computation,,
Harvard,Master's in Computational Science and Engineering Courses,Special Topics in Applied Computation,,
University of Cambridge,Advanced Computer Science,Advanced Topics in Computer Architecture,16.0,h
University of Cambridge,Advanced Computer Science,Advanced topics in programming languages,16.0,h
University of Cambridge,Advanced Computer Science,Affective Artificial Intelligence,16.0,h
University of Cambridge,Advanced Computer Science,Category Theory,,
University of Cambridge,Advanced Computer Science,Digital Money and Decentralised Finance,,
University of Cambridge,Advanced Computer Science,Digital Signal Processing,,
University of Cambridge,Advanced Computer Science,Introduction to Computational Semantics,,
University of Cambridge,Advanced Computer Science,Introduction to Natural Language Syntax and Parsing,,
University of Cambridge,Advanced Computer Science,Introduction to networking and systems measurements,,
University of Cambridge,Advanced Computer Science,Large-scale data processing and optimisation,,
University of Cambridge,Advanced Computer Science,Machine Learning and the Physical World,,
University of Cambridge,Advanced Computer Science,Machine Visual Perception,,
University of Cambridge,Advanced Computer Science,Network Architectures,,
University of Cambridge,Advanced Computer Science,Overview of Natural Language Processing,,
University of Cambridge,Advanced Computer Science,Practical Research in Human-centred AI,,
University of Cambridge,Advanced Computer Science,Principles of Machine Learning Systems,,
University of Cambridge,Advanced Computer Science,Interactive Theorem Proving,,
University of Cambridge,Advanced Computer Science,Quantum Algorithms and Complexity,,
University of Cambridge,Advanced Computer Science,Understanding Quantum Architecture,,
University of Cambridge,Advanced Computer Science,Advanced Topics in Category Theory,,
University of Cambridge,Advanced Computer Science,Advanced Topics in Computer Systems,,
University of Cambridge,Advanced Computer Science,Advanced topics in machine learning,,
University of Cambridge,Advanced Computer Science,Computing for Collective Intelligence,,
University of Cambridge,Advanced Computer Science,Cryptography and Protocol Engineering,,
University of Cambridge,Advanced Computer Science,Distributed Ledger Technologies: Foundations and Applications,,
University of Cambridge,Advanced Computer Science,Explainable Artificial Intelligence,,
University of Cambridge,Advanced Computer Science,Federated Learning: Theory and Practice,,
University of Cambridge,Advanced Computer Science,Geometric Deep Learning,,
University of Cambridge,Advanced Computer Science,Mobile Health,,
University of Cambridge,Advanced Computer Science,Multicore Semantics and Programming,,
University of Cambridge,Advanced Computer Science,Reinforcement Learning,,
University of Cambridge,Advanced Computer Science,Theories of Socio-digital Design for Human-Centred AI,,
University of Cambridge,Advanced Computer Science,Theory of Deep Learning,,
University of Cambridge,Advanced Computer Science,Deep Learning Theory,,16 h
University of Cambridge,Advanced Computer Science,Understanding Networked-Systems Performance,,16 h
University of Cambridge,Machine Learning and Machine Intelligence,Introduction to Machine Learning,,
University of Cambridge,Machine Learning and Machine Intelligence,Speech Recognition,,
University of Cambridge,Machine Learning and Machine Intelligence,Ethical Considerations in Machine Learning and Machine Intelligence,,
University of Cambridge,Machine Learning and Machine Intelligence,Deep Learning & Structured Data,,
University of Cambridge,Machine Learning and Machine Intelligence,Probabilistic Machine Learning,,
University of Cambridge,Machine Learning and Machine Intelligence,Advanced Machine Learning,,
University of Cambridge,Machine Learning and Machine Intelligence,Spoken Language Processing and Generation,,
University of Cambridge,Machine Learning and Machine Intelligence,Advanced Speech Recognition,,
University of Cambridge,Machine Learning and Machine Intelligence,Reinforcement Learning and Decision Making,,
University of Cambridge,Machine Learning and Machine Intelligence,Neural Machine Translation and Dialogue Systems,,
University of Cambridge,Machine Learning and Machine Intelligence,Designing Intelligent Interactive Systems,,
University of Cambridge,Machine Learning and Machine Intelligence,Natural Language Processing,,
University of Cambridge,Machine Learning and Machine Intelligence,Advanced Human-Computer Interaction,,
University of Cambridge,Machine Learning and Machine Intelligence,Computer Vision,,
University of Cambridge,Machine Learning and Machine Intelligence,Practical Optimisation,,
University of Cambridge,Machine Learning and Machine Intelligence,Software Engineering and Design,,
University of Cambridge,Machine Learning and Machine Intelligence,Computational Statistics and Machine Learning,,
University of Cambridge,Machine Learning and Machine Intelligence,Advanced Robotics,,
University of Cambridge,Machine Learning and Machine Intelligence,Machine Learning and the Physical World,,
University of Cambridge,Machine Learning and Machine Intelligence,Geometric Deep Learning,,
University of Cambridge,Data Intensive Science,Statistical Methods for Data Intensive Science,,
University of Cambridge,Data Intensive Science,Machine Learning for Data Intensive Science,,
University of Cambridge,Data Intensive Science,Research Computing for Data Intensive Science,,
University of Cambridge,Data Intensive Science,Advanced Statistical Methods for Data Intensive Science,,
University of Cambridge,Data Intensive Science,Deep Learning for Data Intensive Science,,
University of Cambridge,Data Intensive Science,High Performance Computing for Data Intensive Science,,
University of Cambridge,Data Intensive Science,Applications of Data Science to Cosmology,,
University of Cambridge,Data Intensive Science,Data Driven Astronomy in the SKA era,,
University of Cambridge,Data Intensive Science,Galactic Archaeology for Near-field Cosmology,,
University of Cambridge,Data Intensive Science,Applications of Data Science to Gravitational Waves,,
University of Cambridge,Data Intensive Science,Applications of Data Science to High Energy Physics,,
University of Cambridge,Data Intensive Science,Image analysis,,
University of Cambridge,Data Intensive Science,Applications of Data Science to Medical Imaging,,
University of Cambridge,Data Intensive Science,Scientific Communication Workshop,,
University of Cambridge,Data Intensive Science,Scientific Computing in C++,,
University of Cambridge,Data Intensive Science,Entrepreneurship short course,,
University of Cambridge,Data Intensive Science,Introduction to Data Management and Database Languages,,
University of California  Berkeley,Master of Engineering (M.Eng.),EECS 206A,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE 213A,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C220A,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C220B,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE 221A,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C249A,,
University of California  Berkeley,Master of Engineering (M.Eng.),CS 289A,,
University of California  Berkeley,Master of Engineering (M.Eng.),CS 280,,
University of California  Berkeley,Master of Engineering (M.Eng.),CS 287H,,
University of California  Berkeley,Master of Engineering (M.Eng.),EECS 206B,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C220C,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C222,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE 223,,
University of California  Berkeley,Master of Engineering (M.Eng.),EECS 227AT,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C227C,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C249B,,
University of California  Berkeley,Master of Engineering (M.Eng.),EECS 206A,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE 213A,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C220A,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C220B,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE 221A,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C249A,,
