university,program,name,credits,mode
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Project Management for Architects,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Effective communication for architects,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Business architecture and IT strategy,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Fundamentals of architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Business architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Software Architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Architectures for new technologies,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Solution architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Information architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Infrastructure architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Security architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Business Process Architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Architecting For The Cloud,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,New Generation Architectures,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Digital transformation,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Integration architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Architecting Digital Enterprises,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Frameworks and languages ​​for architects,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Big Data Architectures,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Technical Debt in Software Architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Elective in another system of systems and computing,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Elective in another mastery,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Final Project,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Business architecture and IT strategy,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Fundamentals of architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Business architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Power People,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Software Architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Architectures for new technologies,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Solution architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Information architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Infrastructure architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Security architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Business Process Architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Software Project Estimation,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Architecting For The Cloud,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,New Generation Architectures,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Enterprise Modeling,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Digital transformation,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Intelligent Systems Architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Integration architecture,4.0,
