Universidad,Carrera,Enlace
Universidad de los Andes,Maestría en Inteligencia Artificial,https://www.coursera.org/degrees/maestria-inteligencia-artificial-uniandes/academics
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,https://sistemas.uniandes.edu.co/es/mati-academico/plan-estudios
Universidad de los Andes,Maestría en Ingeniería de Información,https://sistemas.uniandes.edu.co/es/mine-academico/plan-estudios
Universidad de los Andes,Maestría en Ingeniería de Sistemas y Computación,https://sistemas.uniandes.edu.co/es/misis-academico/plan-estudios
Universidad de los Andes,Maestría en Ingeniería de Software,https://sistemas.uniandes.edu.co/es/miso-academico/plan-estudios
Universidad Nacional,Maestría en Ingeniería - Ingeniería de Sistemas y Computación,https://posgrados.unal.edu.co/programa/?id=124
Pontificia Universidad Javeriana,Maestría en Ingeniería de Sistemas y Computación,https://e.issuu.com/embed.html?backgroundColor=%23ffffff&backgroundColorFullscreen=%23ffffff&d=maestr_a_en_ingenier_a_de_sistemas_y_computaci_n&hideIssuuLogo=true&hideShareButton=true&pageLayout=singlePage&u=dmpapuj
Pontificia Universidad Javeriana,Maestría en Inteligencia Artificial,https://e.issuu.com/embed.html?backgroundColor=%23ffffff&backgroundColorFullscreen=%23ffffff&d=mae_inteligencia_artificial&hideIssuuLogo=true&hideShareButton=true&pageLayout=singlePage&u=dmpapuj
Universidad del Rosario,Maestría en Matemáticas Aplicadas y Ciencias de la Computación,https://urosario.edu.co/sites/default/files/2024-11/plan-de-estudios-maestria-en-matematicas-aplicadas-y-ciencias-de-la-computacion.pdf
Universidad del Rosario,"Maestría en Ingeniería, Ciencia y Tecnología",https://urosario.edu.co/sites/default/files/2023-05/maestria-eict-plan-de-estudios.pdf
Universidad del Norte,Maestría en Analítica de Datos,https://www.uninorte.edu.co/web/maestria-en-ciencia-de-datos
Universidad del Norte,Maestría en Ingeniería de Sistemas y Computación,https://www.uninorte.edu.co/web/maestria-en-ingenieria-de-sistemas-y-computacion
Universidad El Bosque,Maestría en Estadística Aplicada y Ciencia de Datos,https://www.unbosque.edu.co/programas-academicos/facultad-ciencias/maestria-estadistica-aplicada-ciencia-datos
Universidad de Santander,Maestría en Estadística Aplicada y Analítica de Datos,https://udes.edu.co/estudia/posgrados/maestrias/estadistica-aplicada-y-analitica-de-datos
Universidad Tecnológica de Bolívar,Maestría en Ciberseguridad,https://www.utb.edu.co/posgrados/maestria-en-ciberseguridad/
Universidad Santiago de Cali,MAESTRÍA EN INFORMÁTICA,https://www.usc.edu.co/maestria-en-informatica/
