Universidad,Carrera,Enlace
Stanford,CME-MS - Computational and Mathematical Engineering (MS),https://bulletin.stanford.edu/programs/CME-MS
Stanford,CS-MS - Computer Science (MS),https://bulletin.stanford.edu/programs/CS-MS
Harvard,Computer Science Master’s Degree Program,https://extension.harvard.edu/academics/programs/computer-science-masters-degree-program/
Harvard,Master's in Computational Science and Engineering Courses,https://seas.harvard.edu/masters-computational-science-and-engineering/courses
University of Cambridge,Advanced Computer Science,https://www.cl.cam.ac.uk/teaching/2425/acs.html
University of Cambridge,Machine Learning and Machine Intelligence,https://www.mlmi.eng.cam.ac.uk/indicative-outline-course-structure
University of Cambridge,Data Intensive Science,https://mphildis.bigdata.cam.ac.uk/mphil-dis-modules/
"University of California, Berkeley",Master of Engineering (M.Eng.),"https://eecs.berkeley.edu/book/requirements/ds/ , https://eecs.berkeley.edu/book/requirements/csys/ , https://eecs.berkeley.edu/book/requirements/peic/ , https://eecs.berkeley.edu/book/requirements/res/ , https://eecs.berkeley.edu/book/requirements/csys/ , https://eecs.berkeley.edu/book/requirements/ds/"
"University of California, Berkeley",Computational Science and Engineering,https://ast.berkeley.edu/wp-content/uploads/2015/05/CompSciEng.pdf
"University of California, Berkeley",Program in Computational Imaging,https://ast.berkeley.edu/wp-content/uploads/2015/05/Computational-Imaging.pdf
"University of California, Berkeley",Computational and Applied Mathematics,https://ast.berkeley.edu/wp-content/uploads/2015/05/Computational-and-Applied-Mathematics.pdf
Oxford,MSc in Advanced Computer Science,https://www.ox.ac.uk/admissions/graduate/courses/msc-advanced-computer-science
Oxford,Software and Systems Security MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-software-and-systems-security
Oxford,MSc in Software Engineering,https://www.ox.ac.uk/admissions/graduate/courses/msc-software-engineering
Princeton,Computer Science,https://gradschool.princeton.edu/academics/degrees-requirements/fields-study/computer-science
university of chicago,Computational and Applied Mathematics,https://voices.uchicago.edu/cammasters/program/
Cornell University,Computer Science (M.Eng.) (Cornell Tech (NYC)),https://gradschool.cornell.edu/academics/fields-of-study/subject/computer-science-m-eng-administered-by-college-of-computing-and-information-science/computer-science-meng-cornell-tech-nyc/
