label	text
0	Tripos Management
1	COMPSCI 161 Design and Analysis of Algorithms
1	COMPSCI 112 Computer Graphics
1	COMPSCI 222 Principles of Data Management
0	Part IB ➥
1	Computer Science (minor) 43
1	CS 260A, User Interface Design and Development
1	Visual Computing and Robotics
0	David Wheeler, 1927–2004
0	Room Reservation
0	Take COMP 602
1	Secure Computer Architecture and Systems
1	Data Engineering Concepts COMP63301 15 Optional
1	Physical Chemistry of Materials
1	Topics in Machine Learning
1	Probabilistic Model Checking
1	Physical Sciences
1	COMPSCI 244 Introduction to Embedded and Ubiquitous Systems
1	EE 227BT, Convex Optimization
0	Part II ➥
1	COMPSCI 205 Computer and Systems Security
0	D. Select six graduate-level electives. 2
1	Natural Language Processing (NLP)
1	Mathematics Expand Navigation Admissions Curriculum
1	Computer Science, Systems and Technology
1	Biochemistry and Biophysics of Membranes
1	Data Engineering Technologies
0	Part IA ➥
0	Google, Meta, Amazon, Uber, Lyft, Microsoft, Oracle, Snap, Electronic Arts, startups
1	CS 282A, Designing, Visualizing and Understanding Deep Neural Networks
1	Part III and MPhil machines
1	Program Information
0	Select 1 Technical elective.  Recommendations include: 1
0	Giving to Cambridge
1	Project or Thesis
1	Logics for Knowledge Representation and Reasoning
1	Knowledge Organisation Systems
1	Software Engineer
0	Office Locations
1	Management and Finance
1	COMPSCI 241 Advanced Compiler Construction
0	Global Cambridge
0	Selected Publications
1	Software Engineering (this course)
1	Part II CST
1	Researcher Development
1	Awards & Endowments
0	Degree Committee
0	On-Campus Experience One 3-week summer course
1	Business and Entrepreneurship
1	Understanding Databases DATA70141 15 Mandatory
1	Research & Internships
1	Part II supervisions overview
1	I&C SCI 166 Game Design
1	Frontiers in Chemical Biology
0	Visitor Form
1	Security Seminar Series
1	Safety and Security Studies and Modeling in Fluids
1	Introduction to Quantum Computing
1	4M21 Software Engineering and Design L F Optional Core for HCI
0	News & Events
0	B. Complete the following:
1	IN4MATX 205 Quantitative Research Methods in Information Systems
1	Integrated B S Comp Sc/M S 45
1	Molecular Genetics of Development
1	MLMI7 Reinforcement Learning and Decision Making L H Core for ML.  Optional Core for CVR,  HCI and SLP
1	COMPSCI 143A Principles of Operating Systems
0	Building Services
0	Other Courses
1	Marine Biology
1	Software Architect
1	ACS Forms
0	Upcoming Terms: Summer 2025 & Fall 2025
0	Promotion and Tenure Public Statement
0	Installing Linux
0	Plan C 149
1	COMPSCI 122A Introduction to Data Management
1	Software Security
1	Applications in Data Science
0	Support Services
1	Security and Privacy in Artificial Intelligence COMP60272 15 Optional
0	Start Project/ Thesis/ Internship
1	Advanced Databases Systems
1	IT Strategy
1	Image Processing
0	CIS Elective Courses
0	Course code TM_SE5J9P1
1	MLMI13 Natural Language Processing M F Optional Core for CVR, HCI, ML and SLP
1	Computer Engineering
0	Excellence in Cybersecurity Education
1	Bioinorganic and Supramolecular Chemistry
1	Part III Assessment
0	Institute of Computer Science (DE)
0	MPhil ACS
1	Cognitive Robotics and Computer Vision COMP64301 15 Optional
1	Internet of Things
0	TA Awards
1	Natural Language Processing (601.665)
